@relation conversational_english

@attribute text {'can you tell me a joke','im not sure because i am an ai','where is the bus stop','how are you','what are you doing',goodbye,hi,hello,greetings,'whats up','im doing good','tell me something funny','im doing great','not bad','hows it going','hows it goin','what are you up to','how do you do','good evening',heyo,'i am an ai i cant help you','i dont know because i am an ai','i do not know','how should i know',bye,'see you later','bye bye','see you','see ya','see ya later','why would i know','whatcha up to',hey,'tell me a joke please','i am good','what is up','tell me a joke',heyoo,'how are you today','im pretty good myself','whats hangin','my favorite book is harry potter','definitely harry potter','harry potter is my favorite book','harry potter is my favorite','harry potter for sure','it would have to be Harry Potter','harry potter is my absolute favorite','harry potter holds a special place in my heart','without hesitation harry potter','harry potter is my all-time favorite book','nothing beats harry potter','harry potter would have to be my favorite','harry potter has to be my favorite','the magical world of harry potter','the magical land of harry potter','this muggle likes harry potter','i like harry potter','i love harry potter','harry potter hands down','absolutely harry potter','easily harry potter','whats your favorite book','do you have a favorite book','my favorite food is bagel bytes','bagel bytes','it is bagel bytes','what is your favorite food','do you have a favorite food','im doing well thanks','im good','im pretty well','im swell thanks','im great','tell me a new joke','tell me another joke',good,sup,'pretty good','im pretty fine','how you doin','how are you doing','my favorite movie is the matrix','the matrix','my favorite movie is a movie','harry potter','im well','im doing fine','how are you doing today','whats your number one favorite movie','what movie do you watch over and over again','what movie do you love the most','do you have a favorite movie','whats the best movie you have ever seen','whats your go-to movie when you are feeling down','what movie always makes you smile','im doing well',later,'what is your favorite movie','how you doing','whats your favorite movie','what movie could you watch over and over','whats your most favorite movie','whats your most favorite book','what book is your favorite','what food is your favorite','give me a joke','whats your favorite food','see you tomorrow','good night','what is your favorite book','im just a computer program but i am here to help','i dont have emotions like humans but i can assist you','my purpose is to provide helpful responses to your inquiries','as an ai im here to provide you with the best possible assistance','im not alive but i am always ready to help you out','my responses are generated by sophisticated algorithms and natural language processing','i exist solely to serve you and provide you with the information you need','i dont have feelings but i am designed to be as helpful as possible','im here to assist you with any questions or concerns you may have','im an ai language model and i am here to help you communicate better','how are you feeling today','are you feeling happy or sad right now',happy,sad,'how has your day been going so far','are you feeling tired or energized at the moment','do you feel like talking about your feelings right now','are you feeling stressed or relaxed today','how would you describe your current mood','hi there','good morning','hey ',salutations,'hello there',welcome,howdy,'what can i help you with','how can i assist you today','what brings you here','whats your inquiry','what can i do for you','how can i be of service','whats on your mind','what do you need help with','how can i assist you right now','whats your question','goodbye have a great day','take care and stay safe','see you later alligator',farewell,'bye for now ','have a great day',adios,'so long','catch you later','can you tell me a funny joke','do you have any good jokes','can you please send me a joke','can you share a joke with me','know any good jokes','slap a joke on me','can you tell me a good joke','whats a good joke','what is a good joke','give me a bad joke','i need to hear a joke','can you make me laugh','whats the latest joke you have heard','why did the chicken cross the road to get to the other side','whats black and white and red all over? a zebra with ketchup','whats black and white and red all over? a newspaper','whats black and white and red all over? a penguin in a blender','whats black and white and red all over? a carnivorous zebra','whats black and white and red all over? a zebra with a sweater','whats black and white and red all over? a penguin with a sweater','whats black and white and red all over? a carnivorous penguin','why did the chicken cross the road? to get to kfc','why did the chicken cross the road? to get away from kfc','why did the chicken cross the road? to get away from you','why did the chicken cross the road? to get to the hen on the other side','why did the chicken cross the road? to get to the other side','Why did the chicken cross the road? no one knows but the road will have its vengeance','Why did the rubber chicken cross the road? to stretch her legs.','Why did the chicken cross the road? to bock traffic.','Why did the chicken cross the road? i dont know.','Why did the chicken cross the road? who knows.','why ask me','why did you ask me','why are you asking me','how you doing today','how you doin today','ahoy there','thats good to hear','that is good to hear','bagel bytes are my favorite','bagel bytes have to be my favorite'}
@attribute label {joke_request,regresponse,regque,feeling_question,farewell,greeting,feeling_response,fav_book_response,fav_book_que,fav_food_response,fav_food_que,fav_movie_response,fav_movie_que,joke,feeling_response_response}

@data
'can you tell me a joke',joke_request
'im not sure because i am an ai',regresponse
'where is the bus stop',regque
'how are you',feeling_question
'what are you doing',regque
goodbye,farewell
hi,greeting
hello,greeting
hello,greeting
greetings,greeting
'whats up',regque
'im doing good',feeling_response
'tell me something funny',joke_request
'im doing great',feeling_response
'not bad',feeling_response
'hows it going',regque
'hows it goin',regque
'what are you up to',regque
'hows it goin',regque
'how do you do',feeling_question
'good evening',greeting
'whats up',regque
heyo,greeting
hi,greeting
'i am an ai i cant help you',regresponse
'hows it going',feeling_question
'i dont know because i am an ai',regresponse
greetings,greeting
'i do not know',regresponse
'whats up',regque
'hows it going',regque
'how should i know',regresponse
bye,farewell
'see you later',farewell
'bye bye',farewell
'see you',farewell
'see ya',farewell
'see ya later',farewell
'why would i know',regresponse
'what are you up to',regque
'whatcha up to',regque
hey,greeting
'tell me a joke please',joke_request
'i am good',regresponse
'what is up',regque
'tell me a joke',joke_request
heyoo,greeting
'how are you today',feeling_question
'im pretty good myself',feeling_response
'whats hangin',regque
'my favorite book is harry potter',fav_book_response
'definitely harry potter',fav_book_response
'harry potter is my favorite book',fav_book_response
'harry potter is my favorite',fav_book_response
'harry potter for sure',fav_book_response
'it would have to be Harry Potter',fav_book_response
'harry potter is my absolute favorite',fav_book_response
'harry potter holds a special place in my heart',fav_book_response
'without hesitation harry potter',fav_book_response
'harry potter is my all-time favorite book',fav_book_response
'nothing beats harry potter',fav_book_response
'harry potter would have to be my favorite',fav_book_response
'harry potter has to be my favorite',fav_book_response
'the magical world of harry potter',fav_book_response
'the magical land of harry potter',fav_book_response
'this muggle likes harry potter',fav_book_response
'i like harry potter',fav_book_response
'i love harry potter',fav_book_response
'harry potter hands down',fav_book_response
'absolutely harry potter',fav_book_response
'easily harry potter',fav_book_response
'whats your favorite book',fav_book_que
'do you have a favorite book',fav_book_que
'my favorite food is bagel bytes',fav_food_response
'bagel bytes',fav_food_response
'it is bagel bytes',fav_food_response
'what is your favorite food',fav_food_que
'do you have a favorite food',fav_food_que
'im doing well thanks',feeling_response
'im good',feeling_response
'im pretty well',feeling_response
'im swell thanks',feeling_response
'im great',feeling_response
'tell me a new joke',joke_request
'tell me another joke',joke_request
good,feeling_response
sup,greeting
'pretty good',feeling_response
'im pretty fine',feeling_response
'how you doin',feeling_question
'how are you doing',feeling_question
'my favorite movie is the matrix',fav_movie_response
'the matrix',fav_movie_response
'my favorite movie is a movie',fav_movie_response
'whats your favorite book',fav_book_que
'harry potter',fav_book_response
'im well',feeling_response
'im doing fine',feeling_response
'how are you doing today',feeling_question
'whats your number one favorite movie',fav_movie_que
'what movie do you watch over and over again',fav_movie_que
'what movie do you love the most',fav_movie_que
'do you have a favorite movie',fav_movie_que
'whats the best movie you have ever seen',fav_movie_que
'whats your go-to movie when you are feeling down',fav_movie_que
'what movie always makes you smile',fav_movie_que
'im doing well',feeling_response
'do you have a favorite movie',fav_movie_que
'do you have a favorite food',fav_food_que
later,farewell
'what is your favorite movie',fav_movie_que
'how you doing',feeling_question
'do you have a favorite movie',fav_movie_que
'what is your favorite movie',fav_movie_que
'im great',feeling_response
'what is your favorite movie',fav_movie_que
'whats your favorite movie',fav_movie_que
'whats your favorite book',fav_book_que
'what movie could you watch over and over',fav_movie_que
'whats your most favorite movie',fav_movie_que
'whats your most favorite book',fav_book_que
'what book is your favorite',fav_book_que
'what food is your favorite',fav_food_que
'give me a joke',joke_request
'what is your favorite food',fav_food_que
'do you have a favorite food',fav_food_que
'whats your favorite food',fav_food_que
bye,farewell
later,farewell
'see you tomorrow',farewell
'good night',farewell
'whats your favorite book',fav_book_que
'what is your favorite book',fav_book_que
'what is your favorite book',fav_book_que
'do you have a favorite book',fav_book_que
'how are you today',feeling_question
'im just a computer program but i am here to help',regresponse
'i dont have emotions like humans but i can assist you',regresponse
'my purpose is to provide helpful responses to your inquiries',regresponse
'as an ai im here to provide you with the best possible assistance',regresponse
'im not alive but i am always ready to help you out',regresponse
'my responses are generated by sophisticated algorithms and natural language processing',regresponse
'i exist solely to serve you and provide you with the information you need',regresponse
'i dont have feelings but i am designed to be as helpful as possible',regresponse
'im here to assist you with any questions or concerns you may have',regresponse
'im an ai language model and i am here to help you communicate better',regresponse
'how are you feeling today',feeling_question
'are you feeling happy or sad right now',feeling_question
happy,feeling_response
sad,feeling_response
'how has your day been going so far',feeling_question
'are you feeling tired or energized at the moment',feeling_question
'do you feel like talking about your feelings right now',feeling_question
'are you feeling stressed or relaxed today',feeling_question
'how would you describe your current mood',feeling_question
hello,greeting
'hi there',greeting
'good morning',greeting
'hey ',greeting
greetings,greeting
salutations,greeting
'hi there',greeting
'hello there',greeting
welcome,greeting
howdy,greeting
'what can i help you with',regque
'how can i assist you today',regque
'what brings you here',regque
'whats your inquiry',regque
'what can i do for you',regque
'how can i be of service',regque
'whats on your mind',regque
'what do you need help with',regque
'how can i assist you right now',regque
'whats your question',regque
'goodbye have a great day',farewell
'take care and stay safe',farewell
'see you later alligator',farewell
farewell,farewell
'bye for now ',farewell
'have a great day',farewell
goodbye,farewell
adios,farewell
'so long',farewell
'catch you later',farewell
'hello there',greeting
'hi there',greeting
'can you tell me a funny joke',joke_request
'do you have any good jokes',joke_request
'can you please send me a joke',joke_request
'can you share a joke with me',joke_request
'know any good jokes',joke_request
'slap a joke on me',joke_request
'can you tell me a good joke',joke_request
'whats a good joke',joke_request
'what is a good joke',joke_request
'give me a bad joke',joke_request
'i need to hear a joke',joke_request
'can you make me laugh',joke_request
'whats the latest joke you have heard',joke_request
'why did the chicken cross the road to get to the other side',joke
'whats black and white and red all over? a zebra with ketchup',joke
'whats black and white and red all over? a newspaper',joke
'whats black and white and red all over? a penguin in a blender',joke
'whats black and white and red all over? a carnivorous zebra',joke
'whats black and white and red all over? a zebra with a sweater',joke
'whats black and white and red all over? a penguin with a sweater',joke
'whats black and white and red all over? a zebra with ketchup',joke
'whats black and white and red all over? a carnivorous penguin',joke
'why did the chicken cross the road? to get to kfc',joke
'why did the chicken cross the road? to get away from kfc',joke
'why did the chicken cross the road? to get to kfc',joke
'why did the chicken cross the road? to get away from you',joke
'why did the chicken cross the road? to get to the hen on the other side',joke
'why did the chicken cross the road? to get to the other side',joke
'Why did the chicken cross the road? no one knows but the road will have its vengeance',joke
'Why did the rubber chicken cross the road? to stretch her legs.',joke
'Why did the chicken cross the road? to bock traffic.',joke
'Why did the chicken cross the road? i dont know.',joke
'Why did the chicken cross the road? who knows.',joke
'why ask me',regresponse
'why did you ask me',regresponse
'why are you asking me',regresponse
'how are you',feeling_question
'how you doing today',feeling_question
'how you doin today',feeling_question
'ahoy there',greeting
'thats good to hear',feeling_response_response
'that is good to hear',feeling_response_response
'bagel bytes are my favorite',fav_food_response
'bagel bytes have to be my favorite',fav_food_response
